department,total_earnings,_id
Boston Police Department,677680.65,1
Boston Police Department,250893.61,2
Boston Police Department,208676.89,3
Boston Police Department,319319.93,4
Boston Police Department,577123.44,5
Boston Police Department,281767.7,6
Boston Police Department,494319.51,7
Boston Police Department,172683.27,8
Boston Police Department,192038.21,9
Boston Police Department,684410.9,10
Boston Police Department,150177.33,11
Boston Police Department,536870.65,12
Boston Police Department,249006.18,13
Boston Police Department,275530.69,14
Boston Police Department,115702.09,15
Boston Police Department,180053.49,16
Boston Police Department,165219.98,17
Boston Police Department,143998.98,18
Boston Police Department,144694.67,19
Boston Police Department,90876.63,20
Boston Police Department,194446.55,21
Boston Police Department,205776.51,22
Boston Police Department,88536.19,23
Boston Police Department,130357.99,24
Boston Police Department,85041.49,25
Boston Police Department,81718.28,26
Boston Police Department,211452.38,27
Boston Police Department,145363.23,28
Boston Police Department,165390.12,29
Boston Police Department,252358.53,30
Boston Police Department,129077.91,31
Boston Police Department,83708.66,32
Boston Police Department,136654.02,33
Boston Police Department,142951.19,34
Boston Police Department,220810.19,35
Boston Police Department,109778.04,36
Boston Police Department,111232.63,37
Boston Police Department,101338.51,38
Boston Police Department,113343.48,39
Boston Police Department,63998.89,40
Boston Police Department,121456.04,41
Boston Police Department,145312.79,42
Boston Police Department,89236.68,43
Boston Police Department,59723.22,44
Boston Police Department,54465.68,45
Boston Police Department,44953.16,46
Boston Police Department,137533.51,47
Boston Police Department,66777.63,48
Boston Police Department,95077.34,49
Boston Police Department,51756.28,50
Boston Police Department,153029.97,51
Boston Police Department,98293.66,52
Boston Police Department,95125.46,53
Boston Police Department,266023.67,54
Boston Police Department,56352.69,55
Boston Police Department,106185.72,56
Boston Police Department,112222.51,57
Boston Police Department,111658.02,58
Boston Police Department,243784.29,59
Boston Police Department,58510.36,60
Boston Police Department,38648.75,61
Boston Police Department,90475.1,62
Boston Police Department,61216.92,63
Boston Police Department,87444.92,64
Boston Police Department,241972.57,65
Boston Police Department,34791.89,66
Boston Police Department,222615.9,67
Boston Police Department,63285.72,68
Boston Police Department,35798.83,69
Boston Police Department,128853.98,70
Boston Police Department,46609.5,71
Boston Police Department,41986.34,72
Boston Police Department,211676.27,73
Boston Police Department,254872.33,74
Boston Police Department,235707.0,75
Boston Police Department,36201.01,76
Boston Police Department,85908.75,77
Boston Police Department,250257.59,78
Boston Police Department,275418.57,79
Boston Police Department,274582.03,80
Boston Police Department,275619.34,81
Boston Police Department,284439.2,82
Boston Police Department,65316.52,83
Boston Police Department,148910.11,84
Boston Police Department,383439.81,85
Boston Police Department,328065.37,86
Boston Police Department,257214.7,87
Boston Police Department,316919.15,88
Boston Police Department,207653.72,89
Boston Police Department,398998.4,90
Boston Police Department,339655.15,91
Boston Police Department,307577.55,92
Boston Police Department,305041.33,93
Boston Police Department,294718.4,94
Boston Police Department,286186.27,95
Boston Police Department,347029.39,96
Boston Police Department,296162.04,97
Boston Police Department,265389.86,98
Boston Police Department,244147.88,99
Boston Police Department,239132.54,100
Boston Police Department,247736.83,101
Boston Police Department,239081.43,102
Boston Police Department,166128.13,103
Boston Police Department,251214.94,104
Boston Police Department,66641.46,105
Boston Police Department,210985.76,106
Boston Police Department,79304.06,107
Boston Police Department,36555.32,108
Boston Police Department,203853.67,109
Boston Police Department,255238.17,110
Boston Police Department,74447.73,111
Boston Police Department,318082.85,112
Boston Police Department,301521.82,113
Boston Police Department,217072.4,114
Boston Police Department,320914.91,115
Boston Police Department,268206.27,116
Boston Police Department,70646.42,117
Boston Police Department,338768.81,118
Boston Police Department,362112.55,119
Boston Police Department,284905.91,120
Boston Police Department,232352.84,121
Boston Police Department,293540.56,122
Boston Police Department,139789.3,123
Boston Police Department,358492.63,124
Boston Police Department,300535.29,125
Boston Police Department,297621.24,126
Boston Police Department,326078.96,127
Boston Police Department,282276.07,128
Boston Police Department,286877.72,129
Boston Police Department,310363.16,130
Boston Police Department,229089.34,131
Boston Police Department,85172.12,132
Boston Police Department,255455.24,133
Boston Police Department,252257.96,134
Boston Police Department,294099.9,135
Boston Police Department,207118.1,136
Boston Police Department,243900.97,137
Boston Police Department,242281.98,138
Boston Police Department,330517.95,139
Boston Police Department,296262.66,140
Boston Police Department,330666.88,141
Boston Police Department,239135.69,142
Boston Police Department,331165.33,143
Boston Police Department,322433.1,144
Boston Police Department,230122.51,145
Boston Police Department,319018.68,146
Boston Police Department,221216.07,147
Boston Police Department,262283.29,148
Boston Police Department,281650.24,149
Boston Police Department,277409.2,150
Boston Police Department,235183.58,151
Boston Police Department,232043.47,152
Boston Police Department,224912.45,153
Boston Police Department,301273.19,154
Boston Police Department,229622.69,155
Boston Police Department,248876.62,156
Boston Police Department,229429.94,157
Boston Police Department,227178.17,158
Boston Police Department,205044.07,159
Boston Police Department,276293.51,160
Boston Police Department,298138.54,161
Boston Police Department,282272.27,162
Boston Police Department,174962.56,163
Boston Police Department,192456.28,164
Boston Police Department,263624.97,165
Boston Police Department,170786.98,166
Boston Police Department,286754.64,167
Boston Police Department,197666.65,168
Boston Police Department,296284.24,169
Boston Police Department,278904.18,170
Boston Police Department,274832.1,171
Boston Police Department,287833.67,172
Boston Police Department,259246.96,173
Boston Police Department,202793.28,174
Boston Police Department,324926.53,175
Boston Police Department,167991.76,176
Boston Police Department,223042.42,177
Boston Police Department,206060.93,178
Boston Police Department,197243.26,179
Boston Police Department,249766.86,180
Boston Police Department,284101.47,181
Boston Police Department,175867.33,182
Boston Police Department,232460.29,183
Boston Police Department,51841.71,184
Boston Police Department,263422.93,185
Boston Police Department,193602.95,186
Boston Police Department,298969.79,187
Boston Police Department,273791.56,188
Boston Police Department,268030.22,189
Boston Police Department,269705.26,190
Boston Police Department,199417.38,191
Boston Police Department,237314.25,192
Boston Police Department,120910.84,193
Boston Police Department,124325.14,194
Boston Police Department,197770.59,195
Boston Police Department,232369.82,196
Boston Police Department,308609.76,197
Boston Police Department,219330.53,198
Boston Police Department,152574.21,199
Boston Police Department,281008.91,200
Boston Police Department,228249.38,201
Boston Police Department,270352.67,202
Boston Police Department,165365.57,203
Boston Police Department,252247.81,204
Boston Police Department,21693.25,205
Boston Police Department,199496.11,206
Boston Police Department,302179.38,207
Boston Police Department,186355.74,208
Boston Police Department,307127.59,209
Boston Police Department,257371.82,210
Boston Police Department,317685.03,211
Boston Police Department,303885.64,212
Boston Police Department,248691.87,213
Boston Police Department,257352.87,214
Boston Police Department,139119.54,215
Boston Police Department,267032.65,216
Boston Police Department,115886.15,217
Boston Police Department,114088.3,218
Boston Police Department,239529.25,219
Boston Police Department,256671.06,220
Boston Police Department,231265.11,221
Boston Police Department,194804.02,222
Boston Police Department,120926.9,223
Boston Police Department,321855.94,224
Boston Police Department,230219.39,225
Boston Police Department,167612.55,226
Boston Police Department,123519.33,227
Boston Police Department,274381.94,228
Boston Police Department,114996.71,229
Boston Police Department,164600.76,230
Boston Police Department,244570.04,231
Boston Police Department,123395.55,232
Boston Police Department,283288.22,233
Boston Police Department,227051.21,234
Boston Police Department,186082.39,235
Boston Police Department,176649.91,236
Boston Police Department,166862.03,237
Boston Police Department,123417.07,238
Boston Police Department,112830.66,239
Boston Police Department,112830.66,240
Boston Police Department,183890.55,241
Boston Police Department,166531.99,242
Boston Police Department,157479.21,243
Boston Police Department,143341.61,244
Boston Police Department,113043.58,245
Boston Police Department,200773.29,246
Boston Police Department,157279.58,247
Boston Police Department,175359.8,248
Boston Police Department,231985.13,249
Boston Police Department,231284.67,250
Boston Police Department,142804.78,251
Boston Police Department,135463.06,252
Boston Police Department,208356.57,253
Boston Police Department,239816.36,254
Boston Police Department,185762.99,255
Boston Police Department,321492.07,256
Boston Police Department,234014.35,257
Boston Police Department,212758.2,258
Boston Police Department,231241.45,259
Boston Police Department,132082.57,260
Boston Police Department,178731.49,261
Boston Police Department,176991.61,262
Boston Police Department,172654.14,263
Boston Police Department,160827.43,264
Boston Police Department,257070.89,265
Boston Police Department,174962.66,266
Boston Police Department,234610.13,267
Boston Police Department,178371.34,268
Boston Police Department,18577.81,269
Boston Police Department,140435.73,270
Boston Police Department,191831.9,271
Boston Police Department,25798.8,272
Boston Police Department,249044.87,273
Boston Police Department,235633.02,274
Boston Police Department,150606.26,275
Boston Police Department,133428.57,276
Boston Police Department,146431.16,277
Boston Police Department,132973.09,278
Boston Police Department,126954.17,279
Boston Police Department,126051.66,280
Boston Police Department,124900.75,281
Boston Police Department,121881.25,282
Boston Police Department,138421.15,283
Boston Police Department,121096.06,284
Boston Police Department,127890.17,285
Boston Police Department,127665.29,286
Boston Police Department,124290.67,287
Boston Police Department,157273.91,288
Boston Police Department,158988.94,289
Boston Police Department,201936.76,290
Boston Police Department,175491.97,291
Boston Police Department,151020.44,292
Boston Police Department,128845.8,293
Boston Police Department,216382.2,294
Boston Police Department,250609.91,295
Boston Police Department,283298.9,296
Boston Police Department,183660.06,297
Boston Police Department,304727.1,298
Boston Police Department,171669.99,299
Boston Police Department,242444.09,300
Boston Police Department,184837.33,301
Boston Police Department,167945.8,302
Boston Police Department,143676.13,303
Boston Police Department,125945.15,304
Boston Police Department,147461.57,305
Boston Police Department,269799.84,306
Boston Police Department,123609.96,307
Boston Police Department,122595.98,308
Boston Police Department,294646.27,309
Boston Police Department,138086.71,310
Boston Police Department,200729.08,311
Boston Police Department,271684.65,312
Boston Police Department,232268.8,313
Boston Police Department,233120.97,314
Boston Police Department,257524.71,315
Boston Police Department,118696.37,316
Boston Police Department,172348.41,317
Boston Police Department,206685.85,318
Boston Police Department,219434.7,319
Boston Police Department,191588.53,320
Boston Police Department,209866.26,321
Boston Police Department,204760.9,322
Boston Police Department,256541.13,323
Boston Police Department,251414.1,324
Boston Police Department,270174.22,325
Boston Police Department,196561.37,326
Boston Police Department,201809.91,327
Boston Police Department,115781.86,328
Boston Police Department,310941.88,329
Boston Police Department,238803.36,330
Boston Police Department,164060.37,331
Boston Police Department,222939.22,332
Boston Police Department,333579.21,333
Boston Police Department,189718.56,334
Boston Police Department,222702.76,335
Boston Police Department,231302.0,336
Boston Police Department,201123.05,337
Boston Police Department,122811.43,338
Boston Police Department,119766.63,339
Boston Police Department,143152.26,340
Boston Police Department,256477.65,341
Boston Police Department,301314.75,342
Boston Police Department,168067.52,343
Boston Police Department,212044.68,344
Boston Police Department,122722.14,345
Boston Police Department,227226.72,346
Boston Police Department,116079.73,347
Boston Police Department,204123.05,348
Boston Police Department,229670.2,349
Boston Police Department,158135.0,350
Boston Police Department,197534.17,351
Boston Police Department,219134.29,352
Boston Police Department,171993.7,353
Boston Police Department,139035.87,354
Boston Police Department,212168.21,355
Boston Police Department,138852.2,356
Boston Police Department,134485.47,357
Boston Police Department,260357.21,358
Boston Police Department,115846.13,359
Boston Police Department,297348.93,360
Boston Police Department,160460.67,361
Boston Police Department,222454.61,362
Boston Police Department,201402.39,363
Boston Police Department,169797.36,364
Boston Police Department,110545.1,365
Boston Police Department,133072.19,366
Boston Police Department,244068.09,367
Boston Police Department,169477.5,368
Boston Police Department,220644.77,369
Boston Police Department,190075.15,370
Boston Police Department,266655.94,371
